=== Fold 0/3  train=1708  val=854 ===
[fold 0 | phase1 1/5] train_loss=2.283 val_loss=1.631 val_acc=0.566 val_qwk=0.618  (555.6s)
[fold 0 | phase1 2/5] train_loss=1.922 val_loss=1.558 val_acc=0.585 val_qwk=0.672  (554.6s)
[fold 0 | phase1 3/5] train_loss=1.868 val_loss=1.451 val_acc=0.589 val_qwk=0.642  (553.7s)
[fold 0 | phase1 4/5] train_loss=1.893 val_loss=1.466 val_acc=0.625 val_qwk=0.712  (553.5s)
[fold 0 | phase1 5/5] train_loss=1.725 val_loss=1.397 val_acc=0.632 val_qwk=0.684  (551.6s)
[fold 0 | phase2 1/20] train_loss=1.749 val_loss=1.197 val_acc=0.658 val_qwk=0.766  (568.7s)
[fold 0 | phase2 2/20] train_loss=1.574 val_loss=1.105 val_acc=0.665 val_qwk=0.773  (561.5s)
[fold 0 | phase2 3/20] train_loss=1.432 val_loss=1.068 val_acc=0.664 val_qwk=0.769  (562.4s)
[fold 0 | phase2 4/20] train_loss=1.379 val_loss=1.043 val_acc=0.684 val_qwk=0.791  (556.8s)
[fold 0 | phase2 5/20] train_loss=1.312 val_loss=1.032 val_acc=0.686 val_qwk=0.805  (553.9s)
[fold 0 | phase2 6/20] train_loss=1.387 val_loss=1.039 val_acc=0.665 val_qwk=0.762  (551.7s)
[fold 0 | phase2 7/20] train_loss=1.334 val_loss=0.985 val_acc=0.692 val_qwk=0.806  (552.7s)
[fold 0 | phase2 8/20] train_loss=1.406 val_loss=0.989 val_acc=0.699 val_qwk=0.825  (552.7s)
[fold 0 | phase2 9/20] train_loss=1.289 val_loss=0.949 val_acc=0.718 val_qwk=0.806  (557.4s)
[fold 0 | phase2 10/20] train_loss=1.306 val_loss=0.940 val_acc=0.718 val_qwk=0.818  (557.0s)
[fold 0 | phase2 11/20] train_loss=1.376 val_loss=0.937 val_acc=0.727 val_qwk=0.822  (557.3s)
[fold 0 | phase2 12/20] train_loss=1.201 val_loss=0.936 val_acc=0.725 val_qwk=0.823  (557.2s)
[fold 0 | phase2 13/20] train_loss=1.207 val_loss=0.942 val_acc=0.720 val_qwk=0.835  (555.6s)
[fold 0 | phase2 14/20] train_loss=1.229 val_loss=0.900 val_acc=0.738 val_qwk=0.840  (557.7s)
[fold 0 | phase2 15/20] train_loss=1.255 val_loss=0.914 val_acc=0.748 val_qwk=0.842  (557.9s)
[fold 0 | phase2 16/20] train_loss=1.238 val_loss=0.895 val_acc=0.754 val_qwk=0.847  (562.2s)
[fold 0 | phase2 17/20] train_loss=1.175 val_loss=0.896 val_acc=0.740 val_qwk=0.848  (558.7s)
[fold 0 | phase2 18/20] train_loss=1.143 val_loss=0.884 val_acc=0.741 val_qwk=0.843  (559.2s)
[fold 0 | phase2 19/20] train_loss=1.126 val_loss=0.867 val_acc=0.751 val_qwk=0.853  (559.7s)
[fold 0 | phase2 20/20] train_loss=1.145 val_loss=0.876 val_acc=0.769 val_qwk=0.853  (558.4s)
=== Fold 1/3  train=1708  val=854 ===
[fold 1 | phase1 1/5] train_loss=2.243 val_loss=1.739 val_acc=0.552 val_qwk=0.558  (547.3s)
[fold 1 | phase1 2/5] train_loss=1.913 val_loss=1.617 val_acc=0.588 val_qwk=0.670  (547.5s)
[fold 1 | phase1 3/5] train_loss=1.829 val_loss=1.577 val_acc=0.601 val_qwk=0.691  (547.5s)
[fold 1 | phase1 4/5] train_loss=1.799 val_loss=1.488 val_acc=0.614 val_qwk=0.689  (546.2s)
[fold 1 | phase1 5/5] train_loss=1.773 val_loss=1.498 val_acc=0.624 val_qwk=0.729  (544.0s)
[fold 1 | phase2 1/20] train_loss=1.685 val_loss=1.242 val_acc=0.652 val_qwk=0.776  (556.4s)
[fold 1 | phase2 2/20] train_loss=1.529 val_loss=1.137 val_acc=0.667 val_qwk=0.796  (554.6s)
[fold 1 | phase2 3/20] train_loss=1.524 val_loss=1.074 val_acc=0.671 val_qwk=0.803  (554.5s)
[fold 1 | phase2 4/20] train_loss=1.462 val_loss=1.046 val_acc=0.689 val_qwk=0.807  (552.5s)
[fold 1 | phase2 5/20] train_loss=1.416 val_loss=1.026 val_acc=0.691 val_qwk=0.810  (553.0s)
[fold 1 | phase2 6/20] train_loss=1.399 val_loss=1.026 val_acc=0.684 val_qwk=0.815  (551.4s)
[fold 1 | phase2 7/20] train_loss=1.392 val_loss=1.019 val_acc=0.683 val_qwk=0.826  (552.8s)
[fold 1 | phase2 8/20] train_loss=1.409 val_loss=0.961 val_acc=0.720 val_qwk=0.842  (552.9s)
[fold 1 | phase2 9/20] train_loss=1.380 val_loss=0.941 val_acc=0.711 val_qwk=0.847  (556.2s)
[fold 1 | phase2 10/20] train_loss=1.297 val_loss=0.930 val_acc=0.739 val_qwk=0.851  (561.1s)
[fold 1 | phase2 11/20] train_loss=1.273 val_loss=0.929 val_acc=0.714 val_qwk=0.852  (561.0s)
[fold 1 | phase2 12/20] train_loss=1.260 val_loss=0.926 val_acc=0.734 val_qwk=0.849  (562.4s)
[fold 1 | phase2 13/20] train_loss=1.238 val_loss=0.904 val_acc=0.744 val_qwk=0.848  (562.4s)
[fold 1 | phase2 14/20] train_loss=1.226 val_loss=0.904 val_acc=0.744 val_qwk=0.861  (561.8s)
[fold 1 | phase2 15/20] train_loss=1.227 val_loss=0.876 val_acc=0.748 val_qwk=0.870  (562.2s)
[fold 1 | phase2 16/20] train_loss=1.186 val_loss=0.870 val_acc=0.753 val_qwk=0.870  (562.4s)
[fold 1 | phase2 17/20] train_loss=1.179 val_loss=0.866 val_acc=0.754 val_qwk=0.864  (562.8s)
[fold 1 | phase2 18/20] train_loss=1.164 val_loss=0.866 val_acc=0.758 val_qwk=0.865  (562.8s)
[fold 1 | phase2 19/20] train_loss=1.153 val_loss=0.853 val_acc=0.766 val_qwk=0.882  (559.8s)
[fold 1 | phase2 20/20] train_loss=1.069 val_loss=0.848 val_acc=0.761 val_qwk=0.883  (562.6s)
=== Fold 2/3  train=1708  val=854 ===
[fold 2 | phase1 1/5] train_loss=2.178 val_loss=1.674 val_acc=0.570 val_qwk=0.663  (548.4s)
[fold 2 | phase1 2/5] train_loss=1.904 val_loss=1.522 val_acc=0.583 val_qwk=0.665  (549.0s)
